populations -b 1 -P . -M /Volumes/West_Africa/West_Africa/Scotobleps/3_Trimmed_Output/population_directory/population_map.txt -r 50 -t 4
populations version 1.35 executed 2016-05-05 07:21:08

# Distribution of population loci.
# Distribution of valid loci matched to catalog locus.
# Valid samples at locus	Count
1	12813
2	5412
3	3408
4	2344
5	1826
6	1463
7	1218
8	1092
9	930
10	901
11	778
12	694
13	589
14	588
15	484
16	463
17	435
18	425
19	418
20	374
21	359
22	326
23	328
24	283
25	327
26	314
27	310
28	327
29	306
30	291
31	303
32	305
33	326
34	293
35	351
36	360
37	324
38	351
39	360
40	368
41	414
42	389
43	407
44	431
45	438
46	478
47	484
48	483
49	476
50	522
51	581
52	557
53	584
54	575
55	597
56	563
57	634
58	618
59	673
60	648
61	652
62	590
63	547
64	496
65	415
66	422
67	446
68	487
69	611
70	783
71	608
72	198
# Distribution of confounded loci at catalog locus.
# Confounded samples at locus	Count
0	59330
1	204
2	95
3	61
4	35
5	30
6	25
7	26
8	20
9	23
10	18
11	14
12	13
13	9
14	8
15	5
16	6
17	5
18	4
19	6
21	1
22	3
23	3
24	4
25	2
26	2
27	2
29	1
30	1
31	1
32	2
33	1
34	2
38	3
39	2
40	1
42	3
45	1
46	1
48	1
# Distribution of missing loci at catalog loci.
# Absent samples at locus	Count
0	59330
1	204
2	95
3	61
4	35
5	30
6	25
7	26
8	20
9	23
10	18
11	14
12	13
13	9
14	8
15	5
16	6
17	5
18	4
19	6
21	1
22	3
23	3
24	4
25	2
26	2
27	2
29	1
30	1
31	1
32	2
33	1
34	2
38	3
39	2
40	1
42	3
45	1
46	1
48	1
# Distribution of population loci after applying locus constraints.
# Distribution of valid loci matched to catalog locus.
# Valid samples at locus	Count
36	360
37	324
38	351
39	360
40	368
41	414
42	389
43	407
44	431
45	438
46	478
47	484
48	483
49	476
50	522
51	581
52	557
53	584
54	575
55	597
56	563
57	634
58	618
59	673
60	648
61	652
62	590
63	547
64	496
65	415
66	422
67	446
68	487
69	611
70	783
71	608
72	198
# Distribution of confounded loci at catalog locus.
# Confounded samples at locus	Count
0	18241
1	105
2	43
3	33
4	17
5	18
6	13
7	18
8	11
9	14
10	12
11	6
12	7
13	5
14	5
15	5
16	4
17	2
18	1
19	4
22	1
24	3
30	1
34	1
# Distribution of missing loci at catalog loci.
# Absent samples at locus	Count
0	18241
1	105
2	43
3	33
4	17
5	18
6	13
7	18
8	11
9	14
10	12
11	6
12	7
13	5
14	5
15	5
16	4
17	2
18	1
19	4
22	1
24	3
30	1
34	1
Population 1 contained 1105 incompatible loci -- more than two alleles present.
Population 1 contained 0 incompatible loci -- more than two alleles present.
