Sample	Loci_With_Missing_Data	Perc_Missing_Data
1_AM224.trim	1032	8.6
1_AM225.trim	486	4.1
1_AM226.trim	492	4.1
1_AM227.trim	861	7.2
1_AM228.trim	706	5.9
1_AM229.trim	333	2.8
1_AM230.trim	673	5.6
1_AM232.trim	570	4.8
2_AM233.trim	231	1.9
2_AM234.trim	171	1.4
2_DPL3059.trim	2113	17.7
2_DPL3279.trim	660	5.5
2_MB292.trim	1763	14.7
2_MB293.trim	2565	21.5
2_YPM6988.trim	1116	9.3
2_YPM6989.trim	521	4.4
3_BMNH2008_625.trim	2533	21.2
3_KU113_BLS13571.trim	518	4.3
3_MB294.trim	6867	57.4
3_MB295.trim	329	2.8
3_MB297.trim	298	2.5
3_MB298.trim	9013	75.4
3_MB304.trim	5013	41.9
3_MB310.trim	422	3.5
4_MB311.trim	374	3.1
4_MB312.trim	259	2.2
4_MB313.trim	315	2.6
4_MB314.trim	5520	46.2
4_MB315.trim	4999	41.8
4_MB316.trim	3022	25.3
4_MB317.trim	5335	44.6
4_MB318.trim	2301	19.2
5_MB319.trim	9987	83.5
5_MB320.trim	3829	32.0
5_MBUR3400.trim	1032	8.6
5_MC11_038.trim	1921	16.1
5_MC11_040.trim	944	7.9
5_MC11_170.trim	776	6.5
5_MC11_171.trim	1200	10.0
5_MCZA_136769.trim	311	2.6
6_MCZA_136770.trim	250	2.1
6_MCZA_136840.trim	287	2.4
6_MCZA_136841.trim	250	2.1
6_MCZA_136842.trim	1570	13.1
6_MCZA_136843.trim	1377	11.5
6_MCZA_139706.trim	764	6.4
6_MH0406.trim	500	4.2
6_MH0419.trim	568	4.7
7_MM036.trim	199	1.7
7_MM050.trim	191	1.6
7_MM051.trim	209	1.7
7_MVZ253421.trim	3377	28.2
7_MVZ253422.trim	4263	35.6
7_MVZ253423.trim	2032	17.0
7_MVZ253424.trim	251	2.1
7_MVZ253425.trim	264	2.2
8_MVZ253426.trim	318	2.7
8_MVZ253427.trim	381	3.2
8_MVZ253428.trim	418	3.5
8_MVZ253429.trim	478	4.0
8_MVZ253430.trim	866	7.2
8_MVZ253431.trim	351	2.9
8_MVZ253432.trim	1515	12.7
8_MVZ253433.trim	546	4.6
9_KU117_BLS13653.trim	6116	51.1
9_MB301.trim	11459	95.8
9_MVZ253434.trim	794	6.6
9_MVZ253435.trim	391	3.3
9_NCSM78914.trim	1080	9.0
9_NCSM78915.trim	1146	9.6
9_TCWC95629.trim	3188	26.7
9_TCWC95630.trim	1541	12.9
