Catalog_ID	SNP_position
1	[1]
3	[4]
4	[3]
5	[0]
6	[0]
9	[1]
11	[0]
12	[0]
13	[0]
15	[0]
17	[0]
18	[0]
19	[0]
20	[0]
22	[0]
25	[0]
27	[0]
28	[0]
30	[0]
31	[0]
33	[0]
34	[1]
36	[0]
37	[0]
38	[0]
41	[1]
44	[1]
45	[0]
46	[0]
50	[0]
51	[0]
54	[0]
55	[0]
56	[0]
60	[1]
61	[0]
62	[0]
63	[2]
65	[0]
67	[2]
69	[1]
71	[0]
73	[1]
75	[1]
81	[2]
82	[0]
83	[0]
89	[1]
91	[1]
92	[2]
94	[0]
95	[0]
97	[3]
98	[0]
99	[0]
101	[0]
102	[0]
103	[1]
104	[0]
105	[0]
106	[0]
111	[0]
113	[3]
114	[0]
115	[2]
118	[0]
119	[0]
120	[0]
121	[0]
123	[0]
126	[0]
129	[1]
130	[0]
132	[0]
134	[0]
136	[1]
137	[0]
139	[0]
140	[2]
143	[0]
145	[0]
148	[0]
150	[0]
151	[0]
152	[0]
161	[1]
164	[0]
166	[0]
169	[2]
171	[0]
172	[0]
173	[0]
176	[0]
179	[1]
181	[0]
189	[1]
192	[1]
193	[0]
194	[0]
196	[0]
198	[0]
200	[1]
201	[1]
202	[0]
204	[0]
208	[0]
209	[1]
211	[0]
212	[0]
216	[0]
217	[0]
218	[0]
223	[1]
224	[0]
227	[1]
230	[0]
233	[3]
237	[0]
238	[1]
239	[2]
240	[0]
244	[0]
248	[0]
253	[0]
254	[0]
255	[0]
257	[0]
259	[0]
260	[1]
261	[1]
262	[0]
263	[0]
270	[0]
272	[0]
277	[0]
278	[0]
279	[0]
282	[2]
284	[2]
287	[0]
288	[1]
289	[0]
290	[0]
297	[0]
300	[0]
301	[0]
303	[1]
305	[0]
306	[0]
309	[0]
310	[3]
313	[1]
314	[1]
315	[0]
316	[2]
317	[0]
322	[0]
324	[0]
326	[0]
327	[0]
332	[1]
333	[0]
335	[0]
338	[0]
340	[1]
342	[0]
343	[0]
346	[2]
348	[2]
349	[2]
351	[0]
352	[0]
353	[1]
354	[2]
355	[0]
356	[0]
358	[0]
360	[0]
361	[0]
362	[0]
363	[0]
364	[3]
365	[0]
366	[0]
368	[0]
371	[1]
375	[0]
376	[0]
379	[0]
380	[0]
381	[0]
382	[1]
386	[0]
387	[3]
388	[0]
389	[0]
393	[0]
395	[2]
397	[1]
399	[0]
401	[0]
402	[0]
404	[0]
406	[0]
409	[1]
411	[0]
412	[0]
414	[0]
415	[3]
416	[0]
417	[2]
420	[2]
421	[2]
422	[1]
425	[0]
431	[0]
432	[0]
436	[0]
443	[0]
445	[1]
446	[0]
447	[0]
449	[0]
450	[0]
451	[0]
453	[2]
456	[1]
460	[2]
461	[0]
462	[2]
463	[0]
465	[0]
468	[1]
470	[2]
473	[1]
478	[1]
479	[0]
481	[0]
482	[0]
484	[0]
486	[0]
489	[2]
490	[0]
491	[2]
495	[1]
497	[1]
498	[0]
501	[3]
502	[1]
505	[0]
507	[0]
509	[0]
510	[0]
514	[0]
515	[1]
516	[5]
519	[0]
520	[1]
522	[0]
523	[0]
524	[0]
525	[0]
529	[0]
531	[0]
532	[0]
535	[0]
536	[0]
537	[1]
538	[0]
539	[0]
540	[0]
542	[0]
543	[0]
544	[0]
547	[0]
548	[4]
554	[0]
557	[0]
558	[0]
560	[0]
561	[0]
562	[0]
566	[0]
570	[2]
571	[0]
573	[0]
577	[1]
580	[3]
582	[0]
587	[0]
589	[0]
593	[5]
594	[2]
595	[0]
597	[0]
598	[1]
600	[1]
602	[0]
606	[0]
607	[0]
608	[0]
610	[0]
611	[0]
612	[0]
615	[0]
616	[0]
618	[1]
620	[0]
621	[0]
628	[0]
629	[0]
